type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,73,72,2.853919,-1.758743,6.700082,2.83074,-1.660382,6.750758,0.022859,0.000186,0.00753,0.113049,117.930974, ALLOMETRICGROWTHVOLUME,26,25,0.022859,0.007344,117.817925,0,26,15.937377,254,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,74,73,2.83074,-1.660382,6.750758,2.897006,-1.61542,6.803106,0.022842,0.000157,0.007344,0.095672,117.817925, ALLOMETRICGROWTHVOLUME,26,25,0.022859,0.007344,117.817925,0,26,15.937377,254,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,75,74,2.897006,-1.61542,6.803106,2.93478,-1.651083,6.88526,0.020171,0.000124,0.006159,0.0972,97.867699, ALLOMETRICGROWTHVOLUME,27,26,0.020148,0.005904,97.668321,0,25,14.59452,213,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,76,75,2.93478,-1.651083,6.88526,2.960175,-1.629968,6.981953,0.020158,0.00013,0.006035,0.102178,97.770499, ALLOMETRICGROWTHVOLUME,27,26,0.020148,0.005904,97.668321,0,25,14.59452,213,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,77,76,2.960175,-1.629968,6.981953,2.990412,-1.60074,7.038462,0.020148,0.00009,0.005904,0.07044,97.668321, ALLOMETRICGROWTHVOLUME,27,26,0.020148,0.005904,97.668321,0,25,14.59452,213,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,78,77,2.990412,-1.60074,7.038462,2.978853,-1.565808,7.136709,0.020133,0.000134,0.005814,0.104911,97.597881, ALLOMETRICGROWTHVOLUME,27,26,0.020148,0.005904,97.668321,0,25,14.59452,213,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,79,78,2.978853,-1.565808,7.136709,3.002151,-1.541834,7.221336,0.02011,0.000116,0.005681,0.090991,97.49297, ALLOMETRICGROWTHVOLUME,27,26,0.020148,0.005904,97.668321,0,25,14.59452,213,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,80,79,3.002151,-1.541834,7.221336,2.991229,-1.518231,7.28442,0.020086,0.000086,0.005555,0.068234,97.252313, ALLOMETRICGROWTHVOLUME,28,27,0.020086,0.005555,97.252313,0,24,14.56022,212,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,81,80,2.991229,-1.518231,7.28442,3.035934,-1.520203,7.395128,0.016323,0.0001,0.003996,0.11941,70.781219, ALLOMETRICGROWTHVOLUME,29,28,0.016323,0.003996,70.781219,0,23,12.247449,150,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,82,81,3.035934,-1.520203,7.395128,3.054202,-1.506819,7.474538,0.016312,0.000069,0.003884,0.082576,70.474714, ALLOMETRICGROWTHVOLUME,30,29,0.016312,0.003884,70.474714,0,22,12.206556,149,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
